Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_norole-2024-01-03_15:47:16.tsv...
An¬ XXX <PER>André
Geor¬ XXX <PER>Georges
Etien¬ XXX <PER>Etienne
, XXX <PER>le
, XXX <PER>Emile
, XXX <ORG>que
( XXX <HumanProd>Nes
A XXX <PER>[M.
dont XXX <PER>Son
' XXX <ORG>l
, XXX <LOC>en
, XXX <ORG>la
• XXX <ORG>"
, XXX <ORG>les
d XXX <PER>Hermann
« XXX <PER>autre
« XXX <PER>quelque
, XXX <LOC>surchargées
, XXX <ORG>en
DES XXX <LOC>Le
est XXX <PER>was
les XXX <ORG>.,
parmi XXX <PER>Paul
------

Preprocessing zephyr-7b-beta-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_norole-2024-04-20_14:00:26.tsv...
xoeuaoroi XXX <WORK>Ant
ſv XXX <ORGANISATION>sv
121 XXX <WORK>Ant
------

Preprocessing zephyr-7b-beta-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_guidelines_norole-2024-04-20_14:01:03.tsv...
MS XXX <MS>
------

Preprocessing zephyr-7b-beta-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_guidelines_norole-2024-04-20_12:21:45.tsv...
palme XXX <WORK>"la
' XXX '<ORG>édition
éditions XXX <EDITION>
I XXX <WORK>tomes
Λνγρᾶς XXX <WORK>Λνγρᾱς
------

Preprocessing zephyr-7b-beta-datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_guidelines_norole-2024-04-20_19:16:09.tsv...
¬ XXX <loc>Lieutenant
¬ XXX <pers>Deutsche
¬ XXX <loc>britischen
April XXX <date>19.
unglückliche XXX <pers>ungeglückliche
¬ XXX <org>preußischen
„ XXX "<org>kleinen
demokratische XXX <loc>Frankfurter
am XXX <org>radi-kalen
es XXX <org>kommerzielle
steuerfreien XXX <org>steuerfreie
zu XXX <time>ein
¬ XXX <org>Zürcher
¬ XXX <time>vor
was XXX <loc>dein
Notar XXX <pers>Heinrich
¬ XXX <org>rungsrat
sei XXX <time>in
dni XXX <org>Dni
Cantons XXX <loc>Kantons
, XXX <org>
» XXX <loc>ter
d XXX <loc>Wäschfra
" XXX <loc>(
die XXX <org>Associazionc
die XXX <org>Affiliazione
das XXX <org>Comité
weitherziger XXX <loc>Weiterziger
beutsche XXX <loc>deutsche
Experten XXX <loc>ber
, XXX <pers>Dr
vnn XXX <time>von
Plaleau XXX <loc>Plateau
amerikanische XXX <pers>Admiral
« XXX <quote>Unserem
« XXX <PRODUCTION><loc>Die
in XXX <pers>
------

Preprocessing zephyr-7b-beta-datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_guidelines_norole-2024-04-20_19:16:17.tsv...
- XXX <pers>Thomas
, XXX <loc>Market
¬ XXX <prod>manufacturing
he XXX <loc>real
stream XXX <loc>head
two XXX <pers>dos
| XXX <loc>place
the XXX <loc>bright
THE XXX <loc>The
WINNERS XXX <org>Troop
------

Preprocessing zephyr-7b-beta-datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_guidelines_norole-2024-04-20_19:16:24.tsv...
la XXX <loc>Chaux
feu XXX <pers>M
„ XXX <loc>remués
- XXX <loc>sant
„ XXX <org>d
_ XXX <time>3
ï XXX <date>3
Alardi XXX <date>17
10 XXX <prod>Lexicon
Al XXX <org>M
l XXX <org>L'
à XXX à<loc>theirs
l XXX l'<loc>enceinte
» XXX <time>Même
( XXX <pers>
_ XXX <prod>un
_ XXX <loc>locomotiVft
AYRES XXX <loc>Buenos
« XXX '<org>fonctionnaire
' XXX '<loc>oies
_ XXX <loc>Val
canse XXX <prod>cancre
listes XXX <loc>assemblées
' XXX '<loc>église
le XXX <loc>Le
Le XXX <loc>Boulevard
ligue XXX <org>Ligue
GANTONS XXX <loc>Gantons
juin XXX <time>1er
billets XXX <time>15
oollihe XXX <time>11
combats XXX <loc>combat
que XXX <pers>M
( XXX <time>10
le XXX <pers>l'ennemi
' XXX '<loc>économie
jet XXX <loc>saut
, XXX <pers>M
des XXX d'<loc>autorités
Les XXX <loc>Finances
en XXX <loc>André
« XXX <quote>Le
' XXX <loc>hôpital
! XXX <loc>les
_ XXX <pers>le
« XXX <loc>L'
, XXX <pers>Yasser
« XXX <quote>Les
, XXX <loc>a
« XXX <quote>JE
les XXX <loc>pays
« XXX <pers>Donald
------

Preprocessing zephyr-7b-beta-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_guidelines_norole-2024-04-20_16:34:12.tsv...
=R XXX <ORG>R
( XXX <LOC>Wiener
Oesterreichisches XXX <LOC>Österreichisches
Italienischer XXX <LOC>italienischer
Wechselstube XXX <LOC>Benvenisti
. XXX <LOC>Kopernikusgasse
prompt XXX <LOC>Aussig
=Pfandpr XXX <LOC>Pfandpr
=Sch XXX <LOC>Sch
=A XXX <ORG>A
=Od XXX <LOC>Od
Denn XXX <PER>Herr
„ XXX <LOC>'"
die XXX <LOC>Einheitlichkeit
Nationalverband XXX <ORG>Deutschen
„ XXX "<ORG>Volks¬
Federnschmückerin XXX <PER>Marie
und XXX <ORG>
vereinbarten XXX <ORG>Ersten
* XXX <PER>F.
Stein¬ XXX <LOC>,
) XXX <LOC>,
Gonobitz XXX <LOC>,
Klagenfurt XXX <LOC>,
Villach XXX <LOC>,
Bozen XXX <LOC>,
Meran XXX <LOC>,
Innsbruck XXX <LOC>,
via XXX <LOC>,
, XXX <LOC>.
Wolfsberg XXX <LOC>.
, XXX <LOC>.
Luttenberg XXX <LOC>.
( XXX <LOC>.
Gleichenberg XXX <LOC>.
) XXX <LOC>.
, XXX <LOC>.
Köflach XXX <LOC>.
, XXX <LOC>
, XXX <LOC>
Stein¬ XXX <LOC>Stein
dig XXX <LOC>,
Rom XXX <LOC>;
Mailand XXX <LOC>,
Genna XXX <LOC>;
Pola XXX <LOC>,
Rovigno XXX <LOC>;
Fiume XXX <LOC>;
Sissek XXX <LOC>,
Banjaluka XXX <LOC>.
land XXX <LOC>,
Venedig XXX <LOC>,
Görz XXX <LOC>;
Pola XXX <LOC>;
Agram XXX <LOC>,
Budapest XXX <LOC>
Pragerh XXX <LOC>.
( XXX <LOC>
; XXX <LOC>,
, XXX <LOC>;
; XXX <LOC>,
, XXX <LOC>
( XXX <LOC>,
“ XXX <ORG>Auch
“ XXX <PER>M
“ XXX <PER>Kay
“ XXX <PER>D
Verschlungene XXX <PER>A
7 XXX <PER>Dr
Am XXX <PER>Franz
40 XXX <PER>Paul
Dirigent: XXX <PER>Josef
“ XXX <ORG>Oper
Kaiserjäger=Regiments=Ergänzungsbezirks=Kommando XXX Kaiserjäger=<ORG>Regiments=<ORG>Ergänzungsbezirks=<ORG>Kommando
Der XXX <ORG>"
=Dr XXX <PER>Dr
=Dr XXX <PER>Dr
Verantwortlicher XXX <PER>G
Bei XXX <PER>bei
Herren XXX <PER>Herrn
b### XXX b<NUM>###
, XXX <LOC>gediegene
„ XXX <LOC>Innsbrucker
Für XXX <PER>Frau
der XXX <ORG>Bundesbahn
. XXX <ORG>Geschäftsstelle
Der XXX <PER>Emil
„ XXX <LOC>Innsbrucker
, XXX <LOC>
„ XXX "<LOC>Kommerz
Hochachtungsvollst XXX <PER>Josef
, XXX <LOC>
, XXX <LOC>
Hartholzbretter XXX <LOC>
, XXX <LOC>
. XXX <LOC>
3´0= XXX <PER>3'0=
die XXX <LOC>große
„ XXX <LOC>"
=W XXX <PER>W
, XXX <LOC>-
. XXX <LOC>Alte
Sparkasse XXX Sparkasse<ORG>
=Verein XXX <ORG>Verein
. XXX <LOC>I
- XXX <ORG>Verlag
###ir XXX <LOC>Illustrierte
Verantwortlicher XXX <PER>N
Erhältlich XXX <LOC>erhältlich
( XXX <ORG>Vereinigung
( XXX <ORG>Kärntner
Kurse XXX Kurse<LOC>,
und XXX Vorträge<LOC>.
Vorträge XXX Vorträge<LOC>.
( XXX <ORG>Oesterreichisches
( XXX <ORG>Gesellschaft
( XXX <ORG>Wiener
Alleininhaber XXX <PER>Leopold
( XXX <LOC>Margareiner
Preise XXX <LOC>Malawer
. XXX <LOC>Preise
Tür XXX <LOC>49291
Bul¬ XXX <ORG>Bul###
f XXX <LOC>F
Verantwortlicher XXX <PER>Joseph
] XXX <LOC>Das
[Frau XXX <PER>Frau
Concepts XXX <PER>Dr
) XXX \<ORG>Telegraphische
beob¬ XXX <LOC>beobachtete
die XXX <ORG>politische
“ XXX <PER>Der
[Berliner XXX <ORG>Berliner
sehr XXX <ORG>très
Oesterreichische XXX <ORG>Österreichische
Oesterreichische XXX <ORG>Österreichische
[Lemberg=Czernowitz=Jassy XXX <LOC>Lemberg=Czernowitz=Jassy
“ XXX <HumanProd>Tranerspiel
“ XXX <PER>Sebastian
“ XXX <LOC>Theater
RENZ XXX RENZ<LOC>
Buchh XXX Buchh.<ORG>
Chr¬ XXX '<PER>'
Buchh XXX Buchh.<ORG>
Frankf XXX Frankf.<LOC>
] XXX <ORG>Der
Für XXX <PER>Herrn
die XXX <ORG>Buchhandlung
[Erste XXX <LOC>Erste
[Der XXX <ORG>Der
[Die XXX <ORG>Die
[Ein XXX <PER>Professor
( XXX <ORG>Telegramm
Tragisches XXX <PER>ein
. XXX <LOC>N
Austro= XXX <ORG>Austro-Ungarischen
Präsidenten XXX <PER>Oberregierungsrates
Premier XXX <ORG>Rio
7prozentige XXX <ORG>Alpine=
„ XXX "<ORG>Neuen
Roman XXX <PER>Anne
. XXX <LOC>Roman
hiesigen XXX <LOC>„
österreich XXX <PER>Robert
was XXX <PER>Professor
------

Preprocessing zephyr-7b-beta-datasets_Newseye_fr_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_guidelines_norole-2024-04-20_16:34:21.tsv...
La XXX <PER>M
Sir XXX <LOC>Grande
Frazier XXX <LOC>États
( XXX <LOC>
( XXX <LOC>
Shanghai XXX <LOC>.
, XXX <ORG>
. XXX <LOC>Œuvre
le XXX <ORG>Le
. XXX <LOC>jusqu
regarde XXX regarde<LOC>sans
L XXX <PER>van
peinture XXX <LOC>petites
, XXX <LOC>sa
bro¬ XXX <LOC>brocart
chemi¬ XXX <LOC>cheminée
avaient XXX <LOC>ont
L XXX <PER>l
L XXX <PER>M
( XXX <HumanProd>Gazette
national XXX national<ORG>
Mes XXX <PER>Me
sIROR XXX <PER>Merrce
raauesn XXX <ORG>LA
D XXX <PER>M
. XXX <LOC>Marché
De XXX <ORG>L
la XXX <ORG>La
la XXX <ORG>Le
les XXX <ORG>Etats
No¬ XXX <PER>Noël
An¬ XXX <PER>André
Geor¬ XXX <PER>Georès
Etien¬ XXX <PER>Etienne
TOUS XXX <PER>Tous
, XXX <PER>Emile
( XXX <LOC>provenant
farine XXX <ORG>Grands
------

Preprocessing zephyr-7b-beta-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_role-2024-04-20_14:01:17.tsv...
xoeuaoroi XXX <WORK>Ant
5 XXX <SCOPE>πόϑεν
ſtatt XXX <SCOPE>analogie
ſv XXX <WORK>sv
das XXX <WORK>Ant
perſönlich XXX <PERS>El
121 XXX <WORK>Ant
242 XXX <WORK>erkl
ohne XXX <SCOPE>"
con XXX <SCOPE>λόγοις
. XXX <SCOPE>φίλε
------

Preprocessing zephyr-7b-beta-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_guidelines_role-2024-04-20_12:22:29.tsv...
ὄμμα XXX <WORK>supr
< XXX <SCOPE>.3
Ἱππὸ XXX <WORK>ἱππὸ
MS XXX <MS>
while XXX <SCOPE>406
as XXX <SCOPE>8
------

Preprocessing zephyr-7b-beta-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_guidelines_role-2024-04-20_12:22:48.tsv...
EtrxovtLoa XXX <WORK>Iphig
ου XXX <PERS>Ου
Υογ XXX <SCOPE>.
' XXX '<ORG>édition
I XXX <WORK>tomes
442 XXX <SCOPE>IX
Λνγρᾶς XXX <WORK>Λνγρᾱς
------

Preprocessing zephyr-7b-beta-datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_guidelines_role-2024-04-20_19:16:37.tsv...
¬ XXX <loc>Lieutenant
¬ XXX <time>über
April XXX <date>19.
neuenburgische XXX <org>neueburgische
unglückliche XXX <pers>ungeglückliche
( XXX <loc>russische
1436 XXX <loc>Kirchdorf
„ XXX <org>"
demokratische XXX <loc>Frankfurter
„ XXX <loc>Wenn
überreicht XXX <loc>Ho
¬ XXX <org>Ver
¬ XXX <org>Zürcher
französischer XXX <loc>Französischer
¬ XXX <time>gestern
das XXX <loc>Ritterhaus
¬ XXX <org>rungsrat
sei XXX <time>in
dni XXX <org>DNI
einseitige XXX <loc>klerikale
Der XXX <time>am
socialen XXX <org>sozialen
August XXX <date>31.
durch XXX <pers>kein
die XXX <org>Associazionc
die XXX <org>Affiliazione
das XXX <org>Comité
welcher XXX <loc>in
, XXX <time>-
t XXX <loc>V
bie XXX <pers>die
weitherziger XXX <loc>Weiterziger
Experten XXX <loc>ber
vnn XXX <time>in
den XXX <loc>elsässischen
> XXX <org>M
jedenfalls XXX <loc>ein
parlamentarisehe XXX <org>parlamentarische
------

Preprocessing zephyr-7b-beta-datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_guidelines_role-2024-04-20_19:16:44.tsv...
President XXX <loc>Président
¬ XXX <prod>pecular
all XXX <org>democratic
Do XXX <pers>NRi
stream XXX <loc>head
Postage XXX <prod>postage
* XXX <loc>W.
WINNERS XXX <org>Troop
------

Preprocessing zephyr-7b-beta-datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_guidelines_role-2024-04-20_19:16:49.tsv...
sieur XXX <pers>Charles
demoiselle XXX <pers>Julie
feu XXX <pers>M
ï XXX <date>3
' XXX '<loc>auberge
Alardi XXX <date>17
19 XXX (<prod>Synonymes
< XXX <loc>4
Al XXX <loc>une
des XXX <prod>huiles
vieille XXX <prod>montre
» XXX <time>Même
ler XXX <date>1er
journée XXX <loc>place
pierres XXX <prod>pières
_ XXX <loc>locomotiVft
dés XXX <time>des
_ XXX <loc>à
goè XXX <loc>goëte
concordat XXX <time>"8
infant XXX <infant>
ddn XXX <pers>dun
canse XXX <loc>cancre
ÉDÉIlA XXX <loc>ÉDÉILA
listes XXX <loc>assemblées
le XXX <org>Le
la XXX <loc>La
quatre XXX <time>four
le XXX <loc>Le
Le XXX <loc>Boulevard
ligue XXX <org>Ligue
GANTONS XXX <loc>Gantons
La XXX L'<org>société
privé XXX <loc>droit
juin XXX <time>1er
combats XXX <loc>combat
les XXX <loc>la
) XXX <time>10
mieux XXX <org>ennemi
Mussolini XXX <pers>MM
jet XXX <loc>saut
Dusserre XXX <loc>D
l XXX l'<org>Etat
Les XXX <loc>des
les XXX <prod>2,25
la XXX <org>Banque
' XXX '<loc>hôpital
! XXX <loc>les
, XXX <prod>mari
comme XXX <pers>Conseiller
« XXX <loc>L'
remises XXX <pers>Marie
, XXX <pers>Yasser
la XXX <org>Credit
Etats XXX <loc>États
les XXX <loc>pays
------

Preprocessing zephyr-7b-beta-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_guidelines_role-2024-04-20_16:34:28.tsv...
( XXX <LOC>Wiener
Geliebte XXX <PER>Gisela
Oesterreichisches XXX <LOC>Österreichisches
wir XXX <ORG>an
prompt XXX <LOC>Aussig
=G XXX =<PER>G
„ XXX "<LOC>die
die XXX <LOC>Einheitlichkeit
schiedensten XXX <LOC>ein
Nationalverband XXX <ORG>Deutschen
„ XXX "<ORG>Volks¬
Die XXX <PER>Marie
und XXX <ORG>
, XXX <LOC>Wienstraße
. XXX <LOC>Schulerstraße
. XXX <LOC>Bereinsgasse
. XXX <LOC>Wielandplatz
. XXX <LOC>Schweglerstr
. XXX <LOC>Klausgasse
. XXX <LOC>Lacknergasse
vereinbarten XXX <ORG>Ersten
Hirschstetten XXX <LOC>Breitenlee
berg XXX <LOC>,
via XXX <LOC>,
) XXX <LOC>,
Kanizsa XXX <LOC>,
Essegg XXX <LOC>,
Sarjevo XXX <LOC>;
Pakrácz=Lipik XXX <LOC>,
Agram XXX <LOC>.
; XXX <LOC>.
Neuberg XXX <LOC>.
, XXX <LOC>.
Aslenz XXX <LOC>.
, XXX <LOC>
, XXX <LOC>
, XXX <LOC>
, XXX <LOC>
, XXX <LOC>
( XXX <LOC>
Arco XXX <LOC>,
Meran XXX <LOC>,
Inns¬ XXX <LOC>,
, XXX <LOC>
via XXX <LOC>),
) XXX <LOC>,
Leoben XXX <LOC>
Görz XXX <LOC>,(
„ XXX <ORG>"
“ XXX "<PER>M
Verschlungene XXX <PER>A
Film¬ XXX Film<LOC>-vorführung
( XXX <LOC>
=Dr XXX =<PER>Dr
=Dr XXX =<ORG>Dr
80 XXX <LOC>Staatsanlehen
Verantwortlicher XXX <PER>G
Herren XXX <PER>Herrn
b### XXX b<NUM>###
Einschal### XXX Einschal<NUM>###ender
Oesterreichische XXX <ORG>Österreichische
, XXX <LOC>gediegene
8578 XXX <HumanProd>Broschüre
Für XXX <PER>Frau
3649/33 XXX <ORG>B
( XXX <ORG>S
. XXX <ORG>S
„ XXX "<LOC>Kommerz
Hochachtungsvollst XXX <PER>Josef
3´0= XXX <PER>3'0=
die XXX <LOC>große
„ XXX <LOC>"
( XXX <ORG>Die
Pathéphon XXX <HumanProd>"
. XXX <LOC>Alte
Transport=Unternehmungen XXX Transport<ORG>=Unternehmungen
Hypotheken=Bank XXX Hypotheken<ORG>=Bank
Verantwortlicher XXX <PER>N
das XXX <PER>Heinrich
Nachbar¬ XXX <LOC>Nachbar
( XXX <ORG>Vereinigung
( XXX <ORG>Oesterreichischer
( XXX <ORG>Kärntner
( XXX <ORG>Oesterreichisches
( XXX <ORG>Gesellschaft
( XXX <ORG>Wiener
Alleininhaber XXX <PER>Leopold
( XXX <LOC>Margareiner
Preise XXX <LOC>Malawer
, XXX <LOC>
Stock XXX <LOC>49291
Leder¬ XXX <LOC>Lederbekleidungs
Bul¬ XXX <ORG>Bul###
Verantwortlicher XXX <PER>Joseph
[Frau XXX <PER>Frau
Star¬ XXX <ORG>Starhemberg
Honved¬ XXX Honved<ORG>-ministerium
Hunyader XXX Hunyader<ORG>-Bataillons=
beob¬ XXX <LOC>beobachtete
die XXX <ORG>politische
. XXX <PER>J
[Berliner XXX <ORG>Berliner
sehr XXX <ORG>très
Oesterreichische XXX <ORG>Österreichische
Oesterreichische XXX <ORG>Österreichische
" XXX <PER>Fris
“ XXX "<PER>Sebastian
RENZ XXX RENZ<LOC>
Requisiten XXX <PER>Frl
Direktor XXX <PER>E
Bul¬ XXX <ORG>Bul'###
[Verein XXX <ORG>Verein
genommen XXX <PER>Friedrich
die XXX <ORG>Buchhandlung
[Der XXX <ORG>Der
Marien¬ XXX <LOC>Marienbader
( XXX <ORG>Telegramm
leben XXX leben<ORG>in
. XXX <LOC>N
Oesterreichischen XXX <ORG>Österreichischen
Austro= XXX <ORG>Austro-Ungarischen
Präsidenten XXX <PER>Oberregierungsrates
Premier XXX <ORG>Rio
7prozentige XXX <ORG>Alpine=
Dezember XXX <LOC>per
, XXX <PER>der
Ueber XXX <PER>Pablo
der XXX <PER>Wladyslaw
dem XXX <PER>König
„ XXX <HumanProd>"
„ XXX <ORG>"
Musik¬ XXX <ORG>Musikkapelle
Pro¬ XXX <PER>Professor
Bundes¬ XXX <ORG>Bundesministerium
Gemeinde XXX <LOC>Polizeidirektion
------

Preprocessing zephyr-7b-beta-datasets_Newseye_fr_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_guidelines_role-2024-04-20_16:34:34.tsv...
La XXX <PER>M
La XXX <PER>M
( XXX <LOC>
( XXX <LOC>
Plongeuses XXX <LOC>LUNA
PROGRAMME XXX <LOC>CINÉMA
York XXX <LOC>New
Guen XXX <PER>MM
, XXX <ORG>
: XXX <PER>Œ
, XXX <PER>Œ
. XXX <LOC>Œuvre
L XXX <PER>van
bro¬ XXX <LOC>brocart
chemi¬ XXX <LOC>cheminée
études XXX <ORG>os
( XXX <HumanProd>Gazette
national XXX national<LOC>
Mes XXX <PER>Me
Pour XXX <PER>M
raauesn XXX <ORG>LA
, XXX <PER>
, XXX <PER>
, XXX <PER>
D XXX <PER>M
. XXX <LOC>Marché
Rhô¬ XXX <LOC>Rhône
con¬ XXX <ORG>considéré
la XXX <ORG>La
la XXX <ORG>Le
jourL XXX jour<LOC>Air
No¬ XXX <PER>Noël
An¬ XXX <PER>André
TOUS XXX <PER>Tous
, XXX <PER>Emile
( XXX <LOC>provenant
farine XXX <ORG>Grands
Lutte XXX <PER>Paul
. XXX <PER>Paul
------

Preprocessing zephyr-7b-beta-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_noguidelines_norole-2024-04-20_12:22:55.tsv...
------

Preprocessing zephyr-7b-beta-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_noguidelines_norole-2024-04-20_14:02:02.tsv...
ἂρ XXX <PERS>O
Ἱππὸ XXX <WORK>ἱππὸ
prays XXX (<PERS>)
and XXX <WORK>Greek
Athen XXX <PERS>τῶν
it XXX <WORK>El
------

Preprocessing zephyr-7b-beta-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_noguidelines_norole-2024-04-20_12:23:27.tsv...
Λνγρᾶς XXX <WORK>Λνγρᾱς
------

Preprocessing zephyr-7b-beta-datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_noguidelines_norole-2024-04-21_00:03:13.tsv...
unglückliche XXX <pers>ungeglückliche
Meilen XXX <loc>mehreren
„ XXX "<org>kleinen
am XXX <org>radi
50prozeutige XXX <humanProd>50prozentige
¬ XXX <loc>bezug
¬ XXX <time>gestern
Notar XXX <pers>Heinrich
amerikanischen XXX <loc>Amerikanischen
den XXX <pers>Priester
weitherziger XXX <loc>Weiterziger
------

Preprocessing zephyr-7b-beta-datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_noguidelines_norole-2024-04-21_00:03:40.tsv...
, XXX <loc>Market
¬ XXX <humanprod>manufacturing
stream XXX <loc>head
him XXX <loc>his
’ XXX <loc>Watt's
the XXX <loc>bright
------

Preprocessing zephyr-7b-beta-datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_noguidelines_norole-2024-04-22_19:42:40.tsv...
10 XXX <org>Lexicon
l XXX <org>L'
leurs XXX <loc>their
< XXX <loc>Castor
dés XXX <loc>des
l XXX l'<org>industrie
accompagnés XXX <pers>M
excellente XXX <humanprod>
le XXX <org>Le
le XXX <loc>Le
Le XXX <loc>Boulevard
GANTONS XXX <loc>Gantons
sauf XXX <neg>ceux
les XXX <loc>la
que XXX <pers>M
mieux XXX <org>ennemi
jet XXX <loc>saut
« XXX "<org>Nouvelle
' XXX '<loc>hôpital
« XXX <org>Daily
« XXX <humanProd>l'
, XXX <pers>Yasser
la XXX <org>Credit
Etats XXX <loc>États
les XXX <loc>pays
------

Preprocessing zephyr-7b-beta-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_noguidelines_norole-2024-04-20_16:34:39.tsv...
. XXX <PER>
, XXX <PER>
Indianerin XXX <PER>Esther
. XXX <PER>Heinrich
Oesterreichisches XXX <LOC>Österreichisches
Italienischer XXX <LOC>italienischer
. XXX <LOC>Kopernikusgasse
, XXX <ORG>österr
„ XXX <ORG>Journal
schiedensten XXX <LOC>ein
Genosse XXX <PER>Alois
Wie XXX <LOC>Andra
und XXX <ORG>
, XXX <LOC>
Hirschstetten XXX <LOC>Breitenlee
, XXX <LOC>
, XXX <LOC>
; XXX <LOC>
Genna XXX <LOC>,
Pola XXX <LOC>
; XXX <LOC>,
; XXX <LOC>
Banjaluka XXX <LOC>
, XXX <LOC>
( XXX <LOC>
Klagenfurt XXX <LOC>,
Wolfsberg XXX <LOC>,
Meran XXX <LOC>,
Arco XXX <LOC>,
Innsbruck XXX <LOC>
) XXX <LOC>,
Luttenberg XXX <LOC>,
Wies XXX <LOC>,
Stainz XXX <LOC>,
land XXX <LOC>,
Venedig XXX <LOC>,
Görz XXX <LOC>;
Pola XXX <LOC>;
Agram XXX <LOC>,
Budapest XXX <LOC>
land XXX <LOC>,
Venedig XXX <LOC>,
Görz XXX <LOC>;
Pola XXX <LOC>,
Rovigno XXX <LOC>;
Fiume XXX <LOC>,
Sissek XXX <LOC>,
Agram XXX <LOC>,
Budapest XXX <LOC>
Pragerhof XXX <LOC>);
; XXX <LOC>,
bruck XXX <LOC>
( XXX <LOC>),
Marburg XXX <LOC>,
, XXX <LOC>.
Leoben XXX <LOC>.
, XXX <LOC>.
Neuberg XXX <LOC>.
; XXX <LOC>
Fiume XXX <LOC>
, XXX <LOC>
via XXX <LOC>,
) XXX <LOC>
; XXX <LOC>,
. XXX <LOC>
“ XXX <PER>M
, XXX <ORG>
“ XXX <PER>D
. XXX <PER>
Wiesbaden=Ant¬ XXX <ORG>Verlag
, XXX <ORG>
, XXX <ORG>
, XXX <LOC>
Franz XXX <PER>Gustl
Der XXX <ORG>"
Herren XXX <ORG>Herrn
b### XXX b<NUM>
Oesterreichische XXX <ORG>Österreichische
, XXX <LOC>
, XXX <PER>
B XXX <ORG>Geschäftsstelle
, XXX <LOC>
3´0= XXX <PER>3'0=
„ XXX <LOC>"
. XXX <LOC>Alte
=Anl XXX =<ORG>Anl
, XXX <ORG>
Hypotheken=Bank XXX Hypotheken<LOC>=Bank<ORG>
, XXX <PER>
( XXX <ORG>Oesterreichischer
( XXX <ORG>Gesellschaft
Alleininhaber XXX <PER>Leopold
, XXX <LOC>
( XXX <ORG>Margareiner
Preise XXX <LOC>Malawer
, XXX <LOC>
Tür XXX <LOC>49291
Eisen¬ XXX Eisenbahn<ORG>
[Frau XXX <PER>Frau
beob¬ XXX <ORG>beobachtete
die XXX <ORG>politische
erhöhten XXX <ORG>
Oesterr XXX <ORG>Österreicher
[Berliner XXX <ORG>Berliner
sehr XXX <ORG>very
Oesterreichische XXX <ORG>Österreichische
Oesterreichische XXX <ORG>Österreichische
, XXX <PER>
, XXX <PER>
. XXX <LOC>2
, XXX <PER>
, XXX <LOC>Hauptallee
Bul¬ XXX <ORG>Bulľ###
, XXX <LOC>
[Verein XXX <ORG>Verein
genommen XXX <ORG>Friedrich
die XXX <ORG>Buchhandlung
, XXX <LOC>
Premier XXX <ORG>Rio
7prozentige XXX <ORG>Alpine=
Juli XXX <LOC>.
„ XXX "<LOC>Kleinen
was XXX <PER>Professor
------

Preprocessing zephyr-7b-beta-datasets_Newseye_fr_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_noguidelines_norole-2024-04-20_16:34:45.tsv...
( XXX <LOC>
Shanghai XXX <LOC>.
L XXX <PER>l
, XXX <ORG>
Guen XXX <PER>MM
, XXX <ORG>
, XXX <PER>dame
. XXX <LOC>Œuvre
le XXX <LOC>Le
Ma XXX <PER>ma
, XXX <PER>se
la XXX <LOC>La
( XXX <ORG>Gazette
Mes XXX <PER>Me
, XXX <LOC>rue
Boc¬ XXX Boc<ORG>
. XXX <LOC>Marché
, XXX <LOC>150
, XXX <LOC>12
, XXX <LOC>100
, XXX <LOC>150
Rhô¬ XXX <LOC>Rhône
con¬ XXX <ORG>considéré
la XXX <ORG>La
la XXX <ORG>Le
